coresetTechnique coresetSize k avgRelErrOfCostOnFullData stdDevRelErrOfCostOnFullData avgDiffOfFairnessOnFullData stdDevDiffOfFairnessOnFullData avgFairnessOnCoreset stdFairnessOnCoreset fairnessOnFullData avgTimeOnCoreset timeOnFullData
Uni 2.0 5 1.2327048247400283 1.0721993180590483 0.034848546152323336 0.021181867667757835 0.9538000201121133 0.03939067792484725 0.9432422182837986 68376.6 113386586.0
Uni 5.0 5 1.8425312429554626 2.0267605168303677 0.05337349311802313 0.006770490831114426 0.9966157114018218 0.006770490831114426 0.9432422182837986 438659.0 113386586.0
Uni 7.0 5 1.1020683347256477 0.536237946570004 0.04202123268961231 0.022009299702980503 0.985263450973411 0.022009299702980503 0.9432422182837986 660995.4 113386586.0
Uni 10.0 5 0.7559947143044621 0.19767671304650472 0.018182002093333604 0.023387311536832232 0.9477636966999764 0.029276403023166492 0.9432422182837986 1325622.2 113386586.0
KMedian 2.0 5 1.4956296358740775 1.2102594374985922 0.040646915200248636 0.028934953241240027 0.9595983891600387 0.047136810547980315 0.9432422182837986 75972.6 113386586.0
KMedian 5.0 5 2.0375876886021036 2.5279901894148944 0.04064768058925765 0.028935379444139698 0.9595991545490478 0.0471374665937536 0.9432422182837986 371353.8 113386586.0
KMedian 7.0 5 0.5316464785619615 0.2711506048906564 0.02349705111292153 0.0216030580884227 0.9424485250727116 0.03190883233309684 0.9432422182837986 801286.6 113386586.0
KMedian 10.0 5 1.1344994406326827 0.8826308727165675 0.04778785583149527 0.012031639662246959 0.963563700511745 0.04489406283678489 0.9432422182837986 1569685.6 113386586.0
IndFair 2.0 5 2.6149241022816248 2.2481875831092424 0.0451688524862431 0.029330370472256874 0.9434812445562116 0.05385572145468783 0.9432422182837986 60521.6 113386586.0
IndFair 5.0 5 0.7705831581288287 0.4587522751851701 0.02270329659799597 0.027805370664268848 0.9659455148817946 0.027805370664268848 0.9432422182837986 367126.8 113386586.0
IndFair 7.0 5 1.5414375953492923 0.946482176522957 0.03598478666979843 0.021266199241553096 0.9685967843067441 0.03323104096534484 0.9432422182837986 692489.6 113386586.0
IndFair 10.0 5 0.7009383473915962 0.6451999997607293 0.034054791637397774 0.027805370664268848 0.9772970099211964 0.027805370664268848 0.9432422182837986 1322545.6 113386586.0
Uni 2.0 10 8.473324043555097 3.5400712589087107 0.5678345270658501 0.3407450009082986 1.60000012468819 0.3741655387315007 1.0536089137432665 171933.4 412356910.0
Uni 5.0 10 4.57330730450371 1.508320974825171 0.40927745186233777 0.4385593613469485 1.420000765389009 0.47497300668098574 1.0536089137432665 801412.2 412356910.0
Uni 7.0 10 4.655521237246489 2.0340600470293926 0.289764423105196 0.3682346555910861 1.3209576223886341 0.38481794456785307 1.0536089137432665 1761935.2 412356910.0
Uni 10.0 10 2.1591301156959974 1.541417225904732 0.10000039411776522 0.17443538827024294 1.132165742363725 0.18508540780351831 1.0536089137432665 3282343.6 412356910.0
KMedian 2.0 10 7.604238589494498 2.468429474981011 0.3883208576078895 0.4559615715431095 1.440957622388634 0.45678771994018735 1.0536089137432665 140961.2 412356910.0
KMedian 5.0 10 5.5291507460285185 3.916992625727241 0.41783491449921684 0.437481783890832 1.4714438282424833 0.437481783890832 1.0536089137432665 995304.6 412356910.0
KMedian 7.0 10 3.802736090205316 2.530139352446977 0.4271130003779753 0.4289303422418679 1.4807219141212418 0.4289303422418679 1.0536089137432665 1744078.0 412356910.0
KMedian 10.0 10 2.971874363610887 2.247087072891226 0.41783491449921684 0.437481783890832 1.4714438282424833 0.437481783890832 1.0536089137432665 3843672.0 412356910.0
IndFair 2.0 10 6.2079496823297315 1.499408118668272 0.8463910862567335 0.2 1.9 0.19999999999999998 1.0536089137432665 155798.2 412356910.0
