coresetTechnique coresetSize k avgRelErrOfCostOnFullData stdDevRelErrOfCostOnFullData avgDiffOfFairnessOnFullData stdDevDiffOfFairnessOnFullData avgFairnessOnCoreset stdFairnessOnCoreset fairnessOnFullData avgTimeOnCoreset timeOnFullData
Uni 2.0 5 2.5616478518756702 2.1017798286101117 0.19212763090685137 0.18791385240913616 1.432179929362578 0.18876591170256465 1.2408893831659051 137490.6 256132663.0
Uni 5.0 5 4.149028006567548 1.766940417814776 0.2395670155053397 0.09757129871940531 1.4586519863857372 0.13961361642350306 1.2408893831659051 560441.0 256132663.0
Uni 7.0 5 3.751922235136412 1.790951243483438 0.23657981220459717 0.08764259454353535 1.4774691953705024 0.08764259454353533 1.2408893831659051 1027646.2 256132663.0
Uni 10.0 5 5.247836748035526 1.9875323172035742 0.19205737491855862 0.053468384070906934 1.4329467580844637 0.053468384070906934 1.2408893831659051 2091589.0 256132663.0
KMedian 2.0 5 3.2115893135434406 2.1760770119500967 0.19298627519181025 0.12553076700355723 1.4333427382069577 0.1263462781816427 1.2408893831659051 112082.2 256132663.0
KMedian 5.0 5 2.561277139590941 1.7854689102750563 0.3022275357613417 0.1095690181166792 1.5431169189272467 0.1095690181166792 1.2408893831659051 617428.4 256132663.0
KMedian 7.0 5 3.5741880141003946 2.6235954449717047 0.2494926486280097 0.07641286620984111 1.490382031793915 0.07641286620984113 1.2408893831659051 1120795.4 256132663.0
KMedian 10.0 5 1.9081845978270462 1.7276503436016124 0.21474706958386663 0.026934820165404456 1.4556364527497716 0.026934820165404456 1.2408893831659051 2233239.6 256132663.0
IndFair 2.0 5 4.031326891329767 1.8482574323699985 0.3393561066989884 0.15941362248437646 1.5802454898648937 0.15941362248437646 1.2408893831659051 120926.0 256132663.0
IndFair 5.0 5 3.054408150550308 2.4294487958263393 0.22697850478379195 0.2738499651319528 1.4678678879496971 0.2738499651319528 1.2408893831659051 572140.2 256132663.0
IndFair 7.0 5 5.507299203921887 2.0814237851580506 0.2144718346962496 0.10523115708373777 1.4553612178621547 0.10523115708373779 1.2408893831659051 1258637.8 256132663.0
IndFair 10.0 5 4.176610111832052 2.8700125781564845 0.18081560555998558 0.08114575867026362 1.4217049887258908 0.08114575867026362 1.2408893831659051 2414305.6 256132663.0
Uni 2.0 10 5.991592469311476 3.9600420651688126 0.7540611714244105 0.28950297136039865 2.048760478713341 0.28950297136039865 1.2946993072889303 332928.6 506812521.0
Uni 5.0 10 3.0576978240368136 1.2552147830396276 0.578731053500479 0.2038055940867239 1.8734303607894094 0.2038055940867239 1.2946993072889303 1552185.0 506812521.0
Uni 7.0 10 3.5658327534395076 1.603207377095988 0.26767984482598417 0.07646996725409652 1.5623791521149144 0.07646996725409652 1.2946993072889303 3811590.0 506812521.0
Uni 10.0 10 1.8713132772720917 0.8596678293293083 0.6458287822084 0.2754545985142928 1.9405280894973305 0.2754545985142928 1.2946993072889303 6099655.4 506812521.0
KMedian 2.0 10 3.1716250099943837 1.2247672778243528 0.6120568167474557 0.38141582577076194 1.9067561240363862 0.38141582577076194 1.2946993072889303 300886.6 506812521.0
KMedian 5.0 10 3.086884945964749 1.5635122110266686 0.27563184722251727 0.12126180632989453 1.5703311545114473 0.12126180632989453 1.2946993072889303 1852817.0 506812521.0
KMedian 7.0 10 3.7193953238443145 0.585695105553438 0.3120271820267233 0.08762272980475352 1.6067264893156534 0.08762272980475352 1.2946993072889303 3748148.0 506812521.0
KMedian 10.0 10 4.267574796393908 2.0081851682473935 0.4967019361569629 0.1953958276735735 1.7914012434458932 0.1953958276735735 1.2946993072889303 8521766.6 506812521.0
IndFair 2.0 10 1.7293839968770854 0.8486243311971017 0.6205456927485582 0.32416123041104605 1.9152450000374888 0.32416123041104605 1.2946993072889303 309441.6 506812521.0
IndFair 5.0 10 1.5494324194517186 0.8290035032013553 0.8122166655902013 0.23649305952922786 2.106915972879132 0.2364930595292279 1.2946993072889303 1858991.8 506812521.0
IndFair 7.0 10 3.846318447836956 0.8526185197611872 0.5773765543591634 0.19873537030509797 1.8720758616480935 0.19873537030509797 1.2946993072889303 4321188.0 506812521.0
IndFair 10.0 10 3.274891901435943 1.5516337365543822 0.3866939737895618 0.19426456133919934 1.681393281078492 0.19426456133919934 1.2946993072889303 7987223.4 506812521.0
Uni 2.0 15 6.747482676823076 4.286664163444481 0.2439472542725225 0.12952552857645638 2.0789750972636467 0.2187654318701247 1.9103666418446166 518183.0 1489307444.0
Uni 5.0 15 2.5406787493045138 3.097043575140553 0.20622258143195277 0.1550662096727378 2.0875531370794222 0.18755859985917483 1.9103666418446166 3150395.6 1489307444.0
Uni 7.0 15 3.1704109978587613 2.1321982499049934 0.2063096685899027 0.1851104996152804 1.906476392564366 0.2771541852147135 1.9103666418446166 5783799.4 1489307444.0
Uni 10.0 15 2.6595302717994587 1.7943204199996403 0.17761386002789564 0.11822679527486003 1.8551728698273848 0.20610168831303258 1.9103666418446166 13100367.0 1489307444.0
KMedian 2.0 15 6.036477743831976 4.0400825078096 0.4343306846415576 0.25655939307548653 2.029401756081856 0.4902004767184478 1.9103666418446166 493964.4 1489307444.0
