coresetTechnique coresetSize k avgRelErrOfCostOnFullData stdDevRelErrOfCostOnFullData avgDiffOfFairnessOnFullData stdDevDiffOfFairnessOnFullData avgFairnessOnCoreset stdFairnessOnCoreset fairnessOnFullData avgTimeOnCoreset timeOnFullData
Uni 2.0 5 10.017188006299762 6.569490328990467 0.20643940292859014 0.17771657397787083 1.6165860033463548 0.2253867791142924 1.4636114709939727 21732.6 23651030.0
Uni 5.0 5 2.6278959004202442 2.8396166593185272 0.057674603825998184 0.05627937030270775 1.5060741844619776 0.06848828668531051 1.4636114709939727 114331.2 23651030.0
Uni 7.0 5 2.0675444733737307 1.6977106293723776 0.04975612705949213 0.00897463374091329 1.4138553439344805 0.00897463374091329 1.4636114709939727 208090.0 23651030.0
Uni 10.0 5 3.6853341501042016 6.1436098245012305 0.15762104950602635 0.04820718642942557 1.5533167480108543 0.1382797575429867 1.4636114709939727 382022.0 23651030.0
KMedian 2.0 5 2.730384146494231 0.7638939770328685 0.10100325270708455 0.11532313929555496 1.3626082182868882 0.11532313929555496 1.4636114709939727 22940.0 23651030.0
KMedian 5.0 5 1.835665577171122 1.632458635180016 0.12104443609259023 0.06689055833781307 1.4180726658869376 0.13058453022138966 1.4636114709939727 131419.4 23651030.0
KMedian 7.0 5 2.512398465909166 1.3441678806263306 0.05281706400473376 0.032998564611113036 1.456204642475378 0.06183596370859014 1.4636114709939727 204031.4 23651030.0
KMedian 10.0 5 2.8965970703026764 1.0759274422437544 0.09738041254198926 0.07363274950047573 1.421782181930623 0.11469541020591259 1.4636114709939727 369072.8 23651030.0
IndFair 2.0 5 5.673815096082514 4.178793595012329 0.16324312008379288 0.0851184858770453 1.486985504361597 0.18261195869061145 1.4636114709939727 23133.6 23651030.0
IndFair 5.0 5 2.197435855395992 1.124653649860213 0.11365469871153726 0.05735117227181987 1.5002362715326407 0.12192280953810505 1.4636114709939727 131800.2 23651030.0
IndFair 7.0 5 2.0742655972672432 1.3719047035007261 0.16438620977009927 0.0532105106472884 1.3876695312211367 0.15519989107426344 1.4636114709939727 232069.0 23651030.0
IndFair 10.0 5 2.2391391713928934 1.8167866143946463 0.09030655784539392 0.08218587887737752 1.4160139430039278 0.11244673586177294 1.4636114709939727 463244.6 23651030.0
Uni 2.0 10 18.334392032928786 16.461627102066814 0.27580684979846626 0.19777182785154604 1.6200190083358084 0.20021259112448042 1.8940592109388514 53952.0 87539174.0
Uni 5.0 10 7.697836853749547 6.66134710366919 0.20024725344830702 0.09125223504579211 1.6938119574905444 0.09125223504579211 1.8940592109388514 290004.8 87539174.0
Uni 7.0 10 1.8959911239352547 1.4192451832282966 0.23232954401483985 0.12057187443109049 1.7432946885967837 0.213973486041935 1.8940592109388514 512190.2 87539174.0
Uni 10.0 10 1.766074828563149 1.7318812850054797 0.24265404256205833 0.1287340187804287 1.6514051683767932 0.12873401878042873 1.8940592109388514 883074.6 87539174.0
KMedian 2.0 10 3.4571542086868687 3.1320537561931827 0.32754683412906144 0.24091310909973393 1.8514483858491801 0.4043641579928278 1.8940592109388514 61600.0 87539174.0
KMedian 5.0 10 2.51236288945962 2.299308228935634 0.4757169616309575 0.3823660711958289 2.0300204605127994 0.5949999820163142 1.8940592109388514 282630.2 87539174.0
KMedian 7.0 10 1.1248381117386699 1.1496283526161248 0.3351390145864955 0.15531178789791758 1.760744342134854 0.34448085043123655 1.8940592109388514 562111.0 87539174.0
KMedian 10.0 10 2.3051054421274126 1.3282706628111758 0.20635785279838176 0.15403471242934935 1.7388748601314667 0.2054947038471832 1.8940592109388514 1107336.4 87539174.0
IndFair 2.0 10 4.505775651118288 1.2476485157165889 0.13956162618881512 0.09248337469453902 1.9509764901074547 0.157451724129653 1.8940592109388514 64008.4 87539174.0
IndFair 5.0 10 1.148045330164604 0.6074115306545727 0.15715982895793398 0.06956183203379322 1.8892709927470714 0.1717996894075558 1.8940592109388514 322160.6 87539174.0
IndFair 7.0 10 2.9151334873819477 3.0197013488274536 0.2905970397541984 0.22146652104315454 1.8642364243050444 0.3641492288255676 1.8940592109388514 581709.6 87539174.0
IndFair 10.0 10 1.5589877064036624 1.0117529547396014 0.29923255006079474 0.14382942917554048 1.711208915908855 0.27711512647326053 1.8940592109388514 1273248.2 87539174.0
Uni 2.0 15 28.403093951609446 17.559604337235832 0.4632469947940093 0.22460690527872865 2.024506642266371 0.22460690527872865 1.5612596474723617 90303.8 280934432.0
Uni 5.0 15 7.308520798129702 3.7888831309663673 0.26580220206622307 0.1596590150410447 1.8270618495385846 0.1596590150410447 1.5612596474723617 614553.4 280934432.0
Uni 7.0 15 7.255927427341393 2.368095961499721 0.28545476197591546 0.2886042830117225 1.8467144094482772 0.2886042830117225 1.5612596474723617 1158815.6 280934432.0
Uni 10.0 15 1.2797956853676355 1.258988748698247 0.1867559153341029 0.11435224334614191 1.7480155628064646 0.11435224334614191 1.5612596474723617 2293275.0 280934432.0
KMedian 2.0 15 10.801304282034426 2.6907708692134724 0.5682068158613747 0.2702963138047263 2.129466463333736 0.2702963138047263 1.5612596474723617 89638.6 280934432.0
KMedian 5.0 15 6.668376164103124 2.6982271265294226 0.3997232524522489 0.3774455848536758 1.9609828999246104 0.3774455848536758 1.5612596474723617 552274.8 280934432.0
KMedian 7.0 15 4.130568454356032 1.3054051583391828 0.5105408114397747 0.1444517852670516 2.0718004589121364 0.1444517852670516 1.5612596474723617 1301474.8 280934432.0
KMedian 10.0 15 1.9641241969133343 1.0247000956727632 0.3215915957008929 0.11216809981536541 1.8828512431732545 0.1121680998153654 1.5612596474723617 1851653.2 280934432.0
IndFair 2.0 15 13.513602504608462 2.062686559345718 0.931887664739296 0.4354321509811862 2.4931473122116574 0.4354321509811862 1.5612596474723617 90827.8 280934432.0
IndFair 5.0 15 4.541237942756503 0.8167891144643938 0.47685433927828125 0.4085884159457534 2.038113986750643 0.40858841594575346 1.5612596474723617 529824.6 280934432.0
IndFair 7.0 15 3.350596738107189 1.503295841888832 0.29207992977032166 0.10568460176238295 1.8533395772426833 0.10568460176238295 1.5612596474723617 1095859.6 280934432.0
IndFair 10.0 15 1.6485873565573317 0.7902795854544858 0.2760342799623235 0.2051893227682648 1.8270137385959266 0.2183399755965578 1.5612596474723617 2429056.0 280934432.0
